transaction_id,amount,recovery_probability,retry_count,ai_decision,expected_recovery
TXN00093,9999,78.0,0,RETRY,7799.22
TXN00094,2499,60.0,3,STOP,1499.4
TXN00095,1499,31.0,1,STOP,464.69
TXN00096,9999,69.0,3,STOP,6899.31
TXN00097,299,67.0,0,PAYMENT LINK,200.33
TXN00098,4999,96.0,3,STOP,4799.04
TXN00099,799,9.0,0,STOP,71.91
TXN00100,499,90.0,2,STOP,449.1
TXN00101,2499,52.0,3,STOP,1299.48
TXN00102,2499,96.5,1,RETRY,2411.535
TXN00103,299,69.0,2,STOP,206.31
TXN00104,999,36.0,3,STOP,359.64
TXN00105,799,18.0,1,STOP,143.82
TXN00106,4999,93.0,3,STOP,4649.07
TXN00107,299,79.0,1,RETRY,236.21
TXN00108,9999,25.0,0,STOP,2499.75
TXN00109,999,86.0,1,RETRY,859.14
TXN00110,1499,94.0,0,RETRY,1409.06
TXN00111,499,90.0,1,RETRY,449.1
TXN00112,4999,28.000000000000004,1,STOP,1399.7200000000003
TXN00113,799,77.25,2,STOP,617.2275
TXN00114,2499,78.0,0,RETRY,1949.22
TXN00115,999,82.0,3,STOP,819.18
TXN00116,299,85.0,1,RETRY,254.15
TXN00117,299,18.0,1,STOP,53.82
TXN00118,1499,100.0,0,RETRY,1499.0
TXN00119,9999,92.0,0,RETRY,9199.08
TXN00120,2499,23.083333333333332,2,STOP,576.8525
TXN00121,9999,22.766666666666666,3,STOP,2276.439
TXN00122,299,17.0,3,STOP,50.83
TXN00123,299,73.0,0,PAYMENT LINK,218.27
TXN00124,4999,78.0,3,STOP,3899.22
TXN00125,4999,84.0,3,STOP,4199.16
TXN00126,1999,15.0,0,STOP,299.85
TXN00127,1999,85.0,3,STOP,1699.15
TXN00128,9999,25.0,2,STOP,2499.75
TXN00129,2499,87.0,1,RETRY,2174.13
TXN00130,1499,94.0,1,RETRY,1409.06
TXN00131,4999,18.0,3,STOP,899.82
TXN00132,799,88.0,1,RETRY,703.12
TXN00133,799,36.0,1,STOP,287.64
TXN00134,299,98.0,1,RETRY,293.02
TXN00135,9999,44.5,0,PAYMENT LINK,4449.555
TXN00136,499,84.0,1,RETRY,419.16
TXN00137,999,88.0,0,RETRY,879.12
TXN00138,4999,25.0,3,STOP,1249.75
TXN00139,799,84.0,3,STOP,671.16
TXN00140,199,42.0,3,STOP,83.58
TXN00141,799,88.0,2,STOP,703.12
TXN00142,999,16.0,3,STOP,159.84
TXN00143,1499,23.0,2,STOP,344.77
TXN00144,799,94.0,3,STOP,751.06
TXN00145,299,83.0,0,RETRY,248.17
TXN00146,299,96.0,3,STOP,287.04
TXN00147,999,21.0,2,STOP,209.79
TXN00148,9999,31.0,1,STOP,3099.69
TXN00149,9999,94.0,0,RETRY,9399.06
TXN00150,2499,77.0,0,RETRY,1924.23
TXN00151,999,33.16666666666667,0,STOP,331.3350000000001
TXN00152,799,38.0,2,STOP,303.62
TXN00153,199,30.0,1,STOP,59.7
TXN00154,4999,21.0,0,STOP,1049.79
TXN00155,4999,25.0,0,STOP,1249.75
TXN00156,799,97.0,0,RETRY,775.03
TXN00157,499,89.0,1,RETRY,444.11
TXN00158,2499,56.49999999999999,2,STOP,1411.9349999999997
TXN00159,1499,83.0,2,STOP,1244.17
TXN00160,199,91.0,1,RETRY,181.09
TXN00161,4999,91.0,3,STOP,4549.09
TXN00162,9999,15.0,1,STOP,1499.85
TXN00163,9999,88.0,0,RETRY,8799.12
TXN00164,499,78.0,1,RETRY,389.22
TXN00165,4999,82.0,2,STOP,4099.18
TXN00166,299,83.0,1,RETRY,248.17
TXN00167,999,80.0,1,RETRY,799.2
TXN00168,499,81.0,1,RETRY,404.19
TXN00169,9999,53.0,0,PAYMENT LINK,5299.47
TXN00170,1999,87.0,3,STOP,1739.13
TXN00171,2499,90.0,1,RETRY,2249.1
TXN00172,499,31.0,0,STOP,154.69
TXN00173,2499,14.000000000000002,1,STOP,349.86000000000007
TXN00174,299,83.0,0,RETRY,248.17
TXN00175,199,86.0,2,STOP,171.14
TXN00176,9999,65.0,1,PAYMENT LINK,6499.35
TXN00177,2499,89.0,1,RETRY,2224.11
TXN00178,299,74.0,3,STOP,221.26
TXN00179,199,87.0,1,RETRY,173.13
TXN00180,799,8.0,0,STOP,63.92
TXN00181,4999,28.499999999999996,1,STOP,1424.7149999999997
TXN00182,9999,19.0,1,STOP,1899.81
TXN00183,299,35.0,2,STOP,104.65
TXN00184,1499,77.0,2,STOP,1154.23
TXN00185,499,37.0,2,STOP,184.63
TXN00186,9999,86.0,1,RETRY,8599.14
TXN00187,999,84.0,3,STOP,839.16
TXN00188,199,89.0,2,STOP,177.11
TXN00189,999,91.0,2,STOP,909.09
TXN00190,799,99.0,3,STOP,791.01
TXN00191,2499,76.0,2,STOP,1899.24
TXN00192,4999,97.0,1,RETRY,4849.03
TXN00193,199,67.0,0,PAYMENT LINK,133.33
TXN00194,799,89.0,2,STOP,711.11
TXN00195,499,87.0,0,RETRY,434.13
TXN00196,9999,50.0,3,STOP,4999.5
TXN00197,299,53.0,0,PAYMENT LINK,158.47
TXN00198,1999,25.0,3,STOP,499.75
TXN00199,499,53.766666666666666,0,PAYMENT LINK,268.29566666666665
TXN00200,1999,43.66666666666667,3,STOP,872.8966666666668
TXN00201,499,4.0,2,STOP,19.96
TXN00202,499,66.0,2,STOP,329.34
TXN00203,499,88.0,0,RETRY,439.12
TXN00204,999,71.0,2,STOP,709.29
TXN00205,499,84.0,0,RETRY,419.16
TXN00206,1999,88.0,0,RETRY,1759.12
TXN00207,499,96.16666666666667,3,STOP,479.8716666666667
TXN00208,2499,93.0,3,STOP,2324.07
TXN00209,1999,32.0,1,STOP,639.68
TXN00210,1999,88.0,3,STOP,1759.12
TXN00211,999,28.999999999999996,2,STOP,289.71
TXN00212,2499,88.0,0,RETRY,2199.12
TXN00213,2499,79.0,0,RETRY,1974.21
TXN00214,299,17.0,2,STOP,50.83
TXN00215,4999,39.0,1,STOP,1949.61
TXN00216,9999,91.0,0,RETRY,9099.09
TXN00217,199,91.0,3,STOP,181.09
TXN00218,2499,18.0,0,STOP,449.82
TXN00219,199,67.0,0,PAYMENT LINK,133.33
TXN00220,799,92.0,2,STOP,735.08
TXN00221,999,20.0,2,STOP,199.8
TXN00222,999,38.0,3,STOP,379.62
TXN00223,499,90.0,1,RETRY,449.1
TXN00224,1999,96.0,0,RETRY,1919.04
TXN00225,499,80.0,1,RETRY,399.2
TXN00226,799,22.0,3,STOP,175.78
TXN00227,799,20.0,2,STOP,159.8
TXN00228,299,48.0,0,PAYMENT LINK,143.52
TXN00229,199,50.0,0,PAYMENT LINK,99.5
TXN00230,299,36.0,2,STOP,107.64
TXN00231,4999,35.0,1,STOP,1749.65
TXN00232,9999,21.0,2,STOP,2099.79
TXN00233,799,87.0,1,RETRY,695.13
TXN00234,1999,57.99999999999999,1,PAYMENT LINK,1159.4199999999998
TXN00235,1499,99.0,0,RETRY,1484.01
TXN00236,299,25.0,0,STOP,74.75
TXN00237,799,10.0,3,STOP,79.9
TXN00238,199,93.0,2,STOP,185.07
TXN00239,9999,15.0,1,STOP,1499.85
TXN00240,1999,24.0,2,STOP,479.76
TXN00241,999,44.0,2,STOP,439.56
TXN00242,299,90.0,2,STOP,269.1
TXN00243,299,96.0,0,RETRY,287.04
TXN00244,199,61.0,0,PAYMENT LINK,121.39
TXN00245,1499,83.48095238095239,1,RETRY,1251.3794761904762
TXN00246,1999,100.0,0,RETRY,1999.0
TXN00247,499,78.0,0,RETRY,389.22
TXN00248,2499,53.78333333333334,2,STOP,1344.0455000000002
TXN00249,199,47.0,0,PAYMENT LINK,93.53
TXN00250,9999,15.0,1,STOP,1499.85
TXN00251,4999,28.999999999999996,2,STOP,1449.7099999999998
TXN00252,299,72.0,1,PAYMENT LINK,215.28
TXN00253,2499,87.0,2,STOP,2174.13
TXN00254,1999,81.5,1,RETRY,1629.185
TXN00255,9999,14.000000000000002,3,STOP,1399.8600000000004
TXN00256,199,20.0,1,STOP,39.8
TXN00257,2499,88.31666666666668,2,STOP,2207.0335000000005
TXN00258,4999,90.0,1,RETRY,4499.1
TXN00259,299,90.0,2,STOP,269.1
TXN00260,1999,17.0,2,STOP,339.83
TXN00261,299,95.0,1,RETRY,284.05
TXN00262,9999,94.0,0,RETRY,9399.06
TXN00263,199,91.0,1,RETRY,181.09
TXN00264,4999,17.0,2,STOP,849.83
TXN00265,299,16.0,3,STOP,47.84
TXN00266,499,8.0,2,STOP,39.92
TXN00267,4999,85.0,2,STOP,4249.15
TXN00268,1499,90.0,2,STOP,1349.1
TXN00269,499,93.0,1,RETRY,464.07
TXN00270,1999,28.999999999999996,0,STOP,579.7099999999999
TXN00271,199,84.0,2,STOP,167.16
TXN00272,1999,79.0,2,STOP,1579.21
TXN00273,9999,93.0,1,RETRY,9299.07
TXN00274,999,34.0,1,STOP,339.66
TXN00275,1499,89.0,2,STOP,1334.11
TXN00276,999,92.0,0,RETRY,919.08
TXN00277,199,89.0,2,STOP,177.11
TXN00278,199,94.0,3,STOP,187.06
TXN00279,299,21.0,3,STOP,62.79
TXN00280,1999,37.0,3,STOP,739.63
TXN00281,2499,21.0,1,STOP,524.79
TXN00282,499,91.0,2,STOP,454.09
TXN00283,499,22.333333333333332,0,STOP,111.44333333333333
TXN00284,199,66.0,0,PAYMENT LINK,131.34
TXN00285,499,32.0,1,STOP,159.68
TXN00286,799,13.0,3,STOP,103.87
TXN00287,799,27.0,2,STOP,215.73
TXN00288,199,52.0,3,STOP,103.48
TXN00289,299,10.0,1,STOP,29.9
TXN00290,9999,14.000000000000002,2,STOP,1399.8600000000004
TXN00291,499,84.0,2,STOP,419.16
TXN00292,799,45.0,0,PAYMENT LINK,359.55
TXN00293,299,81.0,1,RETRY,242.19
TXN00294,299,31.0,3,STOP,92.69
TXN00295,799,72.0,3,STOP,575.28
TXN00296,1499,98.0,3,STOP,1469.02
TXN00297,999,64.0,3,STOP,639.36
TXN00298,499,67.0,1,PAYMENT LINK,334.33
TXN00299,2499,26.5,1,STOP,662.235
TXN00300,999,81.0,2,STOP,809.19
TXN00301,299,89.0,2,STOP,266.11
TXN00302,199,75.0,1,RETRY,149.25
TXN00303,1999,76.0,2,STOP,1519.24
TXN00304,199,94.0,0,RETRY,187.06
TXN00305,499,3.0,2,STOP,14.97
TXN00306,799,18.0,2,STOP,143.82
TXN00307,2499,79.0,3,STOP,1974.21
TXN00308,4999,33.0,3,STOP,1649.67
TXN00309,499,27.0,3,STOP,134.73
TXN00310,299,25.0,1,STOP,74.75
TXN00311,499,94.0,2,STOP,469.06
TXN00312,299,90.25,3,STOP,269.8475
TXN00313,999,79.0,1,RETRY,789.21
TXN00314,4999,85.0,3,STOP,4249.15
TXN00315,9999,20.0,2,STOP,1999.8
TXN00316,1499,53.0,1,PAYMENT LINK,794.47
TXN00317,199,80.0,3,STOP,159.2
TXN00318,499,90.0,0,RETRY,449.1
TXN00319,1999,85.0,3,STOP,1699.15
TXN00320,1999,87.0,2,STOP,1739.13
TXN00321,1499,99.5,0,RETRY,1491.505
TXN00322,9999,18.0,2,STOP,1799.82
TXN00323,9999,66.0,3,STOP,6599.34
TXN00324,2499,82.0,1,RETRY,2049.18
TXN00325,999,90.0,0,RETRY,899.1
TXN00326,9999,94.0,1,RETRY,9399.06
TXN00327,1999,81.0,2,STOP,1619.19
TXN00328,1999,95.0,2,STOP,1899.05
TXN00329,499,19.0,1,STOP,94.81
TXN00330,199,85.0,2,STOP,169.15
TXN00331,2499,95.0,0,RETRY,2374.05
TXN00332,499,88.0,0,RETRY,439.12
TXN00333,9999,91.0,0,RETRY,9099.09
TXN00334,2499,35.5,0,STOP,887.145
TXN00335,4999,76.0,0,RETRY,3799.24
TXN00336,199,85.0,3,STOP,169.15
TXN00337,999,93.0,0,RETRY,929.07
TXN00338,799,6.0,3,STOP,47.94
TXN00339,499,99.0,0,RETRY,494.01
TXN00340,2499,82.0,1,RETRY,2049.18
TXN00341,999,25.0,1,STOP,249.75
TXN00342,4999,75.5,0,RETRY,3774.245
TXN00343,1999,98.0,0,RETRY,1959.02
TXN00344,2499,14.083333333333334,2,STOP,351.9425
TXN00345,9999,94.0,2,STOP,9399.06
TXN00346,799,83.0,2,STOP,663.17
TXN00347,1499,87.0,1,RETRY,1304.13
TXN00348,1999,82.0,1,RETRY,1639.18
TXN00349,1999,99.0,2,STOP,1979.01
TXN00350,2499,25.0,3,STOP,624.75
TXN00351,1499,56.99999999999999,0,PAYMENT LINK,854.4299999999998
TXN00352,1499,72.33333333333334,2,STOP,1084.2766666666669
TXN00353,1999,53.02857142857144,1,PAYMENT LINK,1060.041142857143
TXN00354,4999,22.0,0,STOP,1099.78
TXN00355,9999,35.0,3,STOP,3499.65
TXN00356,1999,85.0,0,RETRY,1699.15
TXN00357,9999,94.0,0,RETRY,9399.06
TXN00358,9999,27.0,3,STOP,2699.73
TXN00359,4999,25.2,1,STOP,1259.748
TXN00360,1999,52.300000000000004,0,PAYMENT LINK,1045.477
TXN00361,9999,100.0,1,RETRY,9999.0
TXN00362,999,84.0,0,RETRY,839.16
TXN00363,2499,64.33333333333333,1,PAYMENT LINK,1607.69
TXN00364,299,27.0,3,STOP,80.73
TXN00365,2499,73.0,2,STOP,1824.27
TXN00366,299,82.0,3,STOP,245.18
TXN00367,499,90.0,0,RETRY,449.1
TXN00368,999,53.0,0,PAYMENT LINK,529.47
TXN00369,4999,97.0,1,RETRY,4849.03
TXN00370,1999,53.02857142857144,1,PAYMENT LINK,1060.041142857143
TXN00371,999,93.0,3,STOP,929.07
TXN00372,1499,45.0,0,PAYMENT LINK,674.55
TXN00373,799,97.0,0,RETRY,775.03
TXN00374,199,18.0,3,STOP,35.82
TXN00375,999,17.0,2,STOP,169.83
TXN00376,1999,92.0,0,RETRY,1839.08
TXN00377,2499,85.16666666666667,2,STOP,2128.315
TXN00378,199,16.0,2,STOP,31.84
TXN00379,9999,96.0,0,RETRY,9599.04
TXN00380,199,86.0,1,RETRY,171.14
TXN00381,4999,91.0,2,STOP,4549.09
TXN00382,499,90.0,1,RETRY,449.1
TXN00383,799,28.499999999999996,1,STOP,227.71499999999997
TXN00384,999,78.0,3,STOP,779.22
TXN00385,1499,95.0,2,STOP,1424.05
TXN00386,999,77.0,0,RETRY,769.23
TXN00387,999,91.0,1,RETRY,909.09
TXN00388,9999,40.5,0,PAYMENT LINK,4049.595
TXN00389,299,69.0,2,STOP,206.31
TXN00390,2499,83.0,3,STOP,2074.17
TXN00391,1499,22.0,0,STOP,329.78
TXN00392,999,23.0,3,STOP,229.77
TXN00393,9999,79.0,0,RETRY,7899.21
TXN00394,2499,97.0,3,STOP,2424.03
TXN00395,999,96.0,0,RETRY,959.04
TXN00396,199,45.00000000000001,1,PAYMENT LINK,89.55000000000001
TXN00397,199,85.0,0,RETRY,169.15
TXN00398,799,23.5,1,STOP,187.765
TXN00399,1499,16.1,2,STOP,241.33900000000003
TXN00400,9999,91.0,0,RETRY,9099.09
TXN00401,4999,24.0,2,STOP,1199.76
TXN00402,4999,79.0,0,RETRY,3949.21
TXN00403,9999,19.75,3,STOP,1974.8025
TXN00404,1999,85.0,2,STOP,1699.15
TXN00405,9999,91.0,3,STOP,9099.09
TXN00406,499,20.333333333333332,2,STOP,101.46333333333332
TXN00407,799,10.0,2,STOP,79.9
TXN00408,9999,77.0,1,RETRY,7699.23
TXN00409,4999,24.0,2,STOP,1199.76
TXN00410,1999,21.0,2,STOP,419.79
TXN00411,299,70.0,0,PAYMENT LINK,209.3
TXN00412,2499,81.0,1,RETRY,2024.19
TXN00413,799,77.0,3,STOP,615.23
TXN00414,299,95.0,3,STOP,284.05
TXN00415,1499,72.83333333333334,1,PAYMENT LINK,1091.7716666666668
TXN00416,499,76.25,2,STOP,380.4875
TXN00417,1499,97.0,0,RETRY,1454.03
TXN00418,1999,15.0,0,STOP,299.85
TXN00419,799,81.0,2,STOP,647.19
TXN00420,799,87.0,1,RETRY,695.13
TXN00421,1999,87.0,0,RETRY,1739.13
TXN00422,2499,76.0,3,STOP,1899.24
TXN00423,199,75.0,0,RETRY,149.25
TXN00424,4999,81.95238095238095,1,RETRY,4096.799523809524
TXN00425,1999,96.0,0,RETRY,1919.04
TXN00426,499,92.0,2,STOP,459.08
TXN00427,1999,81.0,1,RETRY,1619.19
TXN00428,999,83.0,2,STOP,829.17
TXN00429,2499,79.0,1,RETRY,1974.21
TXN00430,4999,70.0,0,PAYMENT LINK,3499.3
TXN00431,2499,14.000000000000002,3,STOP,349.86000000000007
TXN00432,4999,87.0,1,RETRY,4349.13
TXN00433,9999,92.0,2,STOP,9199.08
TXN00434,299,82.0,0,RETRY,245.18
TXN00435,999,94.0,1,RETRY,939.06
TXN00436,799,91.0,2,STOP,727.09
TXN00437,999,18.5,3,STOP,184.815
TXN00438,799,15.0,1,STOP,119.85
TXN00439,1999,76.0,1,RETRY,1519.24
TXN00440,1499,68.0,1,PAYMENT LINK,1019.32
TXN00441,499,28.000000000000004,2,STOP,139.72000000000003
TXN00442,499,87.0,2,STOP,434.13
TXN00443,2499,84.0,0,RETRY,2099.16
TXN00444,499,79.23333333333332,1,RETRY,395.37433333333325
TXN00445,4999,25.0,0,STOP,1249.75
TXN00446,4999,73.0,2,STOP,3649.27
TXN00447,1999,13.0,0,STOP,259.87
TXN00448,299,95.0,0,RETRY,284.05
TXN00449,499,97.0,2,STOP,484.03
TXN00450,499,34.0,2,STOP,169.66
TXN00451,299,62.0,1,PAYMENT LINK,185.38
TXN00452,499,89.0,1,RETRY,444.11
TXN00453,999,33.0,0,STOP,329.67
TXN00454,199,92.0,0,RETRY,183.08
TXN00455,1999,99.0,0,RETRY,1979.01
TXN00456,4999,84.50000000000001,0,RETRY,4224.155000000001
TXN00457,999,21.0,1,STOP,209.79
TXN00458,999,78.0,2,STOP,779.22
TXN00459,199,83.0,0,RETRY,165.17
TXN00460,299,30.0,1,STOP,89.7
TXN00461,1999,85.5,0,RETRY,1709.145
TXN00462,9999,80.0,2,STOP,7999.2
TXN00463,499,97.0,0,RETRY,484.03
TXN00464,4999,57.49999999999999,0,PAYMENT LINK,2874.4249999999993
TXN00465,799,12.0,3,STOP,95.88
TXN00466,999,64.0,2,STOP,639.36
TXN00467,2499,86.0,3,STOP,2149.14
TXN00468,1499,13.0,3,STOP,194.87
TXN00469,2499,77.0,3,STOP,1924.23
TXN00470,299,84.0,0,RETRY,251.16
TXN00471,4999,99.0,0,RETRY,4949.01
TXN00472,9999,85.0,1,RETRY,8499.15
TXN00473,4999,28.000000000000004,2,STOP,1399.7200000000003
TXN00474,1999,31.0,0,STOP,619.69
TXN00475,1499,25.0,2,STOP,374.75
TXN00476,4999,23.0,3,STOP,1149.77
TXN00477,1999,95.0,1,RETRY,1899.05
TXN00478,299,86.0,3,STOP,257.14
TXN00479,499,87.0,0,RETRY,434.13
TXN00480,1999,92.0,1,RETRY,1839.08
TXN00481,1999,85.0,3,STOP,1699.15
TXN00482,2499,73.0,3,STOP,1824.27
TXN00483,299,16.0,1,STOP,47.84
TXN00484,799,15.0,3,STOP,119.85
TXN00485,1999,46.81666666666666,1,PAYMENT LINK,935.8651666666666
TXN00486,9999,40.0,1,PAYMENT LINK,3999.6
TXN00487,499,51.0,3,STOP,254.49
TXN00488,4999,93.0,3,STOP,4649.07
TXN00489,499,26.0,3,STOP,129.74
TXN00490,9999,17.0,1,STOP,1699.83
TXN00491,799,95.0,2,STOP,759.05
TXN00492,299,51.0,2,STOP,152.49
TXN00493,799,83.0,0,RETRY,663.17
TXN00494,299,80.0,2,STOP,239.2
TXN00495,299,32.0,2,STOP,95.68
TXN00496,299,95.0,0,RETRY,284.05
TXN00497,1999,28.000000000000004,3,STOP,559.72
TXN00498,999,39.0,1,STOP,389.61
TXN00499,199,18.0,1,STOP,35.82
TXN00500,1999,78.0,2,STOP,1559.22
TXN00501,1999,19.666666666666664,3,STOP,393.13666666666666
TXN00502,499,26.0,1,STOP,129.74
TXN00503,299,28.999999999999996,1,STOP,86.70999999999998
TXN00504,999,75.0,3,STOP,749.25
TXN00505,1499,86.0,3,STOP,1289.14
TXN00506,1499,71.0,3,STOP,1064.29
TXN00507,4999,26.0,3,STOP,1299.74
TXN00508,4999,90.0,0,RETRY,4499.1
TXN00509,2499,99.0,3,STOP,2474.01
TXN00510,9999,92.0,0,RETRY,9199.08
TXN00511,199,30.0,2,STOP,59.7
TXN00512,299,32.0,1,STOP,95.68
TXN00513,799,83.0,0,RETRY,663.17
TXN00514,2499,16.0,2,STOP,399.84
TXN00515,199,15.0,2,STOP,29.85
TXN00516,999,69.0,1,PAYMENT LINK,689.31
TXN00517,2499,91.0,3,STOP,2274.09
TXN00518,299,81.0,1,RETRY,242.19
TXN00519,1499,12.0,2,STOP,179.88
TXN00520,1999,19.0,2,STOP,379.81
TXN00521,1999,23.0,0,STOP,459.77
TXN00522,799,26.0,0,STOP,207.74
TXN00523,499,83.0,1,RETRY,414.17
TXN00524,999,90.0,1,RETRY,899.1
TXN00525,1499,95.0,3,STOP,1424.05
TXN00526,499,90.0,1,RETRY,449.1
TXN00527,2499,91.0,2,STOP,2274.09
TXN00528,799,66.0,0,PAYMENT LINK,527.34
TXN00529,299,99.0,3,STOP,296.01
TXN00530,199,95.0,1,RETRY,189.05
TXN00531,2499,68.0,3,STOP,1699.32
TXN00532,9999,98.0,0,RETRY,9799.02
TXN00533,499,27.0,3,STOP,134.73
TXN00534,199,79.0,1,RETRY,157.21
TXN00535,799,25.0,2,STOP,199.75
TXN00536,799,93.0,1,RETRY,743.07
TXN00537,499,24.0,3,STOP,119.76
TXN00538,499,94.0,3,STOP,469.06
TXN00539,4999,75.0,1,RETRY,3749.25
TXN00540,2499,28.000000000000004,3,STOP,699.7200000000001
TXN00541,4999,92.0,0,RETRY,4599.08
TXN00542,1499,98.5,0,RETRY,1476.515
TXN00543,1999,18.25,2,STOP,364.8175
TXN00544,1999,94.0,0,RETRY,1879.06
TXN00545,2499,73.0,2,STOP,1824.27
TXN00546,799,88.0,0,RETRY,703.12
TXN00547,799,28.000000000000004,1,STOP,223.72000000000003
TXN00548,1999,27.0,3,STOP,539.73
TXN00549,2499,85.0,1,RETRY,2124.15
TXN00550,1499,69.0,3,STOP,1034.31
TXN00551,199,87.0,0,RETRY,173.13
TXN00552,1499,53.26666666666665,1,PAYMENT LINK,798.467333333333
TXN00553,299,28.999999999999996,2,STOP,86.70999999999998
TXN00554,2499,73.0,0,PAYMENT LINK,1824.27
TXN00555,499,99.0,2,STOP,494.01
TXN00556,999,93.0,3,STOP,929.07
TXN00557,1999,96.0,0,RETRY,1919.04
TXN00558,499,36.0,0,STOP,179.64
TXN00559,4999,86.0,1,RETRY,4299.14
TXN00560,999,94.0,0,RETRY,939.06
TXN00561,1999,94.0,3,STOP,1879.06
TXN00562,1999,54.0,2,STOP,1079.46
TXN00563,999,41.0,0,PAYMENT LINK,409.59
TXN00564,299,37.0,2,STOP,110.63
TXN00565,499,19.0,0,STOP,94.81
TXN00566,1999,85.0,3,STOP,1699.15
TXN00567,1499,44.0,2,STOP,659.56
TXN00568,2499,51.0,0,PAYMENT LINK,1274.49
