transaction_id,customer_id,amount,payment_method,failure_reason,previous_transactions,previous_failures,retry_count,customer_type,payment_status,recovered
TXN00024,CUST0036,1499,Wallet,Insufficient Balance,9,3,2,Regular,Failed,No
TXN00025,CUST0571,199,NetBanking,Insufficient Balance,4,2,2,New,Recovered,Yes
TXN00026,CUST0324,1999,Card,Authentication Failed,1,1,0,New,Recovered,Yes
TXN00027,CUST0352,4999,Wallet,Network Error,9,1,1,Regular,Recovered,Yes
TXN00028,CUST0030,499,Card,Authentication Failed,6,4,2,Regular,Recovered,Yes
TXN00029,CUST0360,4999,UPI,Network Error,29,2,2,Loyal,Recovered,Yes
TXN00030,CUST0022,499,NetBanking,Network Error,15,0,2,Loyal,Recovered,Yes
TXN00031,CUST0231,2499,Wallet,Authentication Failed,18,4,3,Loyal,Failed,No
TXN00032,CUST0701,4999,Wallet,Insufficient Balance,11,0,2,Regular,Failed,No
TXN00033,CUST0758,499,Wallet,Bank Timeout,1,2,1,New,Failed,No
TXN00034,CUST0092,999,NetBanking,Bank Timeout,28,5,3,Loyal,Recovered,Yes
TXN00035,CUST0367,799,Wallet,Authentication Failed,18,5,0,Loyal,Failed,No
TXN00036,CUST0808,499,UPI,Card Declined,21,2,1,Loyal,Failed,No
TXN00037,CUST0540,499,UPI,Card Declined,8,5,3,Regular,Recovered,Yes
TXN00038,CUST0588,2499,UPI,Insufficient Balance,18,5,1,Loyal,Failed,No
TXN00039,CUST0295,299,Wallet,Network Error,25,3,2,Loyal,Failed,No
TXN00040,CUST0172,1999,Wallet,Bank Timeout,6,3,3,Regular,Failed,No
TXN00041,CUST0883,9999,Card,Authentication Failed,29,1,0,Loyal,Recovered,Yes
TXN00042,CUST0012,9999,Wallet,Insufficient Balance,17,3,0,Loyal,Failed,No
TXN00043,CUST0746,2499,UPI,Card Declined,30,5,1,Loyal,Failed,No
TXN00044,CUST0374,199,UPI,Bank Timeout,6,3,1,Regular,Recovered,Yes
TXN00045,CUST0196,2499,UPI,Authentication Failed,20,1,0,Loyal,Recovered,Yes
TXN00046,CUST0044,299,Card,Authentication Failed,11,4,0,Regular,Recovered,Yes
TXN00047,CUST0474,499,Wallet,Network Error,2,2,3,New,Recovered,Yes
TXN00048,CUST0095,1999,Wallet,Bank Timeout,14,4,3,Regular,Recovered,Yes
TXN00049,CUST0788,499,NetBanking,Authentication Failed,3,3,3,New,Recovered,Yes
TXN00050,CUST0587,1999,Wallet,Network Error,3,3,2,New,Recovered,Yes
TXN00051,CUST0262,1999,Card,Card Declined,12,2,2,Regular,Recovered,Yes
TXN00052,CUST0155,2499,Card,Bank Timeout,23,0,1,Loyal,Recovered,Yes
TXN00053,CUST0251,199,UPI,Network Error,18,3,0,Loyal,Failed,No
TXN00054,CUST0871,1999,Card,Insufficient Balance,19,3,2,Loyal,Recovered,Yes
TXN00055,CUST0959,4999,NetBanking,Authentication Failed,9,4,2,Regular,Recovered,Yes
TXN00056,CUST0485,999,Wallet,Insufficient Balance,16,4,2,Loyal,Failed,No
TXN00057,CUST0398,799,Card,Bank Timeout,7,4,3,Regular,Failed,No
TXN00058,CUST0780,199,Wallet,Network Error,12,0,1,Regular,Recovered,Yes
TXN00059,CUST0041,9999,UPI,Bank Timeout,9,3,1,Regular,Recovered,Yes
TXN00060,CUST0784,1999,UPI,Insufficient Balance,4,4,2,New,Failed,No
TXN00061,CUST0500,199,Card,Bank Timeout,22,0,3,Loyal,Recovered,Yes
TXN00062,CUST0968,1499,NetBanking,Network Error,29,2,2,Loyal,Failed,No
TXN00063,CUST0730,199,Card,Network Error,23,3,3,Loyal,Recovered,Yes
TXN00064,CUST0050,299,Wallet,Card Declined,23,5,3,Loyal,Recovered,Yes
TXN00065,CUST0508,1499,UPI,Authentication Failed,29,1,1,Loyal,Failed,No
TXN00066,CUST0317,1999,Card,Insufficient Balance,27,4,0,Loyal,Failed,No
TXN00067,CUST0648,9999,Wallet,Network Error,5,4,1,Regular,Recovered,Yes
TXN00068,CUST0698,499,Card,Network Error,16,4,2,Loyal,Recovered,Yes
TXN00069,CUST0451,9999,UPI,Insufficient Balance,14,3,0,Regular,Failed,No
TXN00070,CUST0684,999,UPI,Authentication Failed,15,2,3,Loyal,Failed,No
TXN00071,CUST0158,1999,Card,Bank Timeout,15,2,1,Loyal,Recovered,Yes
TXN00072,CUST0696,199,Wallet,Network Error,2,2,1,New,Failed,No
TXN00073,CUST0971,1999,NetBanking,Authentication Failed,28,1,0,Loyal,Recovered,Yes
TXN00074,CUST0296,9999,Wallet,Bank Timeout,20,3,0,Loyal,Failed,No
TXN00075,CUST0686,199,UPI,Bank Timeout,8,1,3,Regular,Recovered,Yes
TXN00076,CUST0107,299,NetBanking,Network Error,20,4,3,Loyal,Recovered,Yes
TXN00077,CUST0116,1999,UPI,Card Declined,24,2,2,Loyal,Recovered,Yes
TXN00078,CUST0129,1499,NetBanking,Insufficient Balance,3,3,1,New,Failed,No
TXN00079,CUST0352,499,Card,Network Error,15,4,1,Loyal,Failed,No
TXN00080,CUST0029,4999,UPI,Network Error,3,4,1,New,Recovered,Yes
TXN00081,CUST0344,299,NetBanking,Card Declined,17,5,0,Loyal,Recovered,Yes
TXN00082,CUST0304,499,NetBanking,Card Declined,28,1,2,Loyal,Recovered,Yes
TXN00083,CUST0414,199,NetBanking,Insufficient Balance,2,2,2,New,Recovered,Yes
TXN00084,CUST0994,199,Card,Network Error,20,5,1,Loyal,Recovered,Yes
TXN00085,CUST0774,2499,UPI,Bank Timeout,20,4,0,Loyal,Recovered,Yes
TXN00086,CUST0300,299,Card,Card Declined,8,0,0,Regular,Recovered,Yes
TXN00087,CUST0048,499,UPI,Bank Timeout,30,5,3,Loyal,Recovered,Yes
TXN00088,CUST0956,999,Wallet,Authentication Failed,12,0,0,Regular,Recovered,Yes
TXN00089,CUST0861,4999,Wallet,Insufficient Balance,14,0,1,Regular,Recovered,Yes
TXN00090,CUST0697,499,Wallet,Network Error,20,5,0,Loyal,Recovered,Yes
TXN00091,CUST0874,9999,Card,Bank Timeout,18,0,3,Loyal,Recovered,Yes
TXN00092,CUST0702,299,NetBanking,Authentication Failed,14,2,2,Regular,Recovered,Yes
TXN00093,CUST0356,9999,NetBanking,Insufficient Balance,27,4,0,Loyal,Recovered,Yes
TXN00094,CUST0473,2499,Wallet,Authentication Failed,21,0,3,Loyal,Recovered,Yes
TXN00095,CUST0523,1499,Wallet,Authentication Failed,25,4,1,Loyal,Failed,No
TXN00096,CUST0371,9999,Wallet,Authentication Failed,30,3,3,Loyal,Recovered,Yes
TXN00097,CUST0148,299,Wallet,Insufficient Balance,19,1,0,Loyal,Recovered,Yes
TXN00098,CUST0597,4999,Card,Bank Timeout,0,1,3,New,Recovered,Yes
TXN00099,CUST0889,799,Wallet,Authentication Failed,1,5,0,New,Failed,No
TXN00100,CUST0465,499,Card,Insufficient Balance,29,4,2,Loyal,Recovered,Yes
TXN00101,CUST0351,2499,UPI,Network Error,28,3,3,Loyal,Recovered,Yes
TXN00102,CUST0262,2499,Wallet,Network Error,26,2,1,Loyal,Recovered,Yes
TXN00103,CUST0768,299,UPI,Card Declined,8,3,2,Regular,Recovered,Yes
TXN00104,CUST0236,999,NetBanking,Network Error,17,4,3,Loyal,Failed,No
TXN00105,CUST0585,799,UPI,Insufficient Balance,24,5,1,Loyal,Failed,No
TXN00106,CUST0726,4999,NetBanking,Authentication Failed,22,0,3,Loyal,Recovered,Yes
TXN00107,CUST0165,299,NetBanking,Bank Timeout,22,2,1,Loyal,Failed,No
TXN00108,CUST0028,9999,NetBanking,Card Declined,29,3,0,Loyal,Failed,No
TXN00109,CUST0284,999,Card,Authentication Failed,29,5,1,Loyal,Recovered,Yes
TXN00110,CUST0626,1499,Card,Network Error,28,1,0,Loyal,Recovered,Yes
TXN00111,CUST0259,499,NetBanking,Authentication Failed,1,1,1,New,Recovered,Yes
TXN00112,CUST0697,4999,Card,Bank Timeout,10,5,1,Regular,Failed,No
TXN00113,CUST0464,799,Wallet,Network Error,6,1,2,Regular,Recovered,Yes
TXN00114,CUST0664,2499,UPI,Authentication Failed,6,4,0,Regular,Recovered,Yes
TXN00115,CUST0637,999,Wallet,Card Declined,21,1,3,Loyal,Recovered,Yes
TXN00116,CUST0055,299,Wallet,Network Error,27,2,1,Loyal,Recovered,Yes
TXN00117,CUST0308,299,Card,Insufficient Balance,27,5,1,Loyal,Failed,No
TXN00118,CUST0310,1499,Card,Bank Timeout,18,5,0,Loyal,Recovered,Yes
TXN00119,CUST0841,9999,UPI,Insufficient Balance,17,0,0,Loyal,Recovered,Yes
TXN00120,CUST0064,2499,Card,Bank Timeout,20,3,2,Loyal,Failed,No
TXN00121,CUST0265,9999,Wallet,Insufficient Balance,14,3,3,Regular,Failed,No
TXN00122,CUST0402,299,NetBanking,Card Declined,28,4,3,Loyal,Failed,No
TXN00123,CUST0319,299,UPI,Bank Timeout,21,3,0,Loyal,Recovered,Yes
TXN00124,CUST0499,4999,UPI,Card Declined,24,5,3,Loyal,Recovered,Yes
TXN00125,CUST0286,4999,UPI,Authentication Failed,30,5,3,Loyal,Recovered,Yes
TXN00126,CUST0511,1999,Wallet,Card Declined,21,5,0,Loyal,Failed,No
TXN00127,CUST0266,1999,Wallet,Insufficient Balance,10,2,3,Regular,Recovered,Yes
TXN00128,CUST0425,9999,UPI,Authentication Failed,22,3,2,Loyal,Failed,No
TXN00129,CUST0776,2499,UPI,Card Declined,13,0,1,Regular,Recovered,Yes
TXN00130,CUST0437,1499,Wallet,Network Error,27,1,1,Loyal,Recovered,Yes
TXN00131,CUST0178,4999,Wallet,Insufficient Balance,16,5,3,Loyal,Failed,No
TXN00132,CUST0262,799,UPI,Authentication Failed,4,1,1,New,Recovered,Yes
TXN00133,CUST0909,799,NetBanking,Insufficient Balance,23,5,1,Loyal,Recovered,Yes
TXN00134,CUST0502,299,UPI,Bank Timeout,22,1,1,Loyal,Recovered,Yes
TXN00135,CUST0974,9999,Wallet,Insufficient Balance,7,3,0,Regular,Failed,No
TXN00136,CUST0850,499,UPI,Network Error,12,0,1,Regular,Failed,No
TXN00137,CUST0681,999,UPI,Network Error,29,3,0,Loyal,Recovered,Yes
TXN00138,CUST0169,4999,Card,Authentication Failed,16,2,3,Loyal,Failed,No
TXN00139,CUST0691,799,Card,Network Error,9,5,3,Regular,Recovered,Yes
TXN00140,CUST0863,199,Wallet,Card Declined,15,5,3,Loyal,Failed,No
TXN00141,CUST0988,799,NetBanking,Authentication Failed,13,3,2,Regular,Recovered,Yes
TXN00142,CUST0083,999,Card,Card Declined,27,1,3,Loyal,Failed,No
TXN00143,CUST0947,1499,UPI,Card Declined,22,5,2,Loyal,Failed,No
TXN00144,CUST0656,799,NetBanking,Bank Timeout,12,5,3,Regular,Recovered,Yes
TXN00145,CUST0126,299,Card,Card Declined,10,1,0,Regular,Recovered,Yes
TXN00146,CUST0726,299,UPI,Card Declined,30,0,3,Loyal,Recovered,Yes
TXN00147,CUST0639,999,Card,Authentication Failed,7,3,2,Regular,Failed,No
TXN00148,CUST0271,9999,UPI,Insufficient Balance,17,1,1,Loyal,Failed,No
TXN00149,CUST0847,9999,NetBanking,Authentication Failed,18,4,0,Loyal,Recovered,Yes
TXN00150,CUST0622,2499,UPI,Card Declined,24,0,0,Loyal,Recovered,Yes
TXN00151,CUST0200,999,NetBanking,Card Declined,26,3,0,Loyal,Recovered,Yes
TXN00152,CUST0095,799,NetBanking,Card Declined,28,4,2,Loyal,Recovered,Yes
TXN00153,CUST0658,199,Wallet,Authentication Failed,23,4,1,Loyal,Failed,No
TXN00154,CUST0194,4999,Wallet,Insufficient Balance,7,1,0,Regular,Failed,No
TXN00155,CUST0093,4999,Card,Authentication Failed,29,4,0,Loyal,Failed,No
TXN00156,CUST0039,799,Card,Bank Timeout,17,1,0,Loyal,Recovered,Yes
TXN00157,CUST0726,499,Wallet,Network Error,21,1,1,Loyal,Recovered,Yes
TXN00158,CUST0577,2499,Card,Authentication Failed,0,2,2,New,Failed,No
TXN00159,CUST0587,1499,Wallet,Card Declined,17,0,2,Loyal,Recovered,Yes
TXN00160,CUST0116,199,NetBanking,Network Error,26,4,1,Loyal,Recovered,Yes
TXN00161,CUST0177,4999,UPI,Authentication Failed,25,0,3,Loyal,Recovered,Yes
TXN00162,CUST0750,9999,Wallet,Insufficient Balance,27,3,1,Loyal,Failed,No
TXN00163,CUST0092,9999,UPI,Bank Timeout,4,4,0,New,Recovered,Yes
TXN00164,CUST0328,499,Card,Card Declined,0,2,1,New,Recovered,Yes
TXN00165,CUST0601,4999,Wallet,Network Error,19,5,2,Loyal,Recovered,Yes
TXN00166,CUST0959,299,Card,Network Error,7,5,1,Regular,Recovered,Yes
TXN00167,CUST0326,999,Wallet,Network Error,12,2,1,Regular,Recovered,Yes
TXN00168,CUST0726,499,Wallet,Bank Timeout,7,4,1,Regular,Recovered,Yes
TXN00169,CUST0032,9999,Wallet,Bank Timeout,13,4,0,Regular,Failed,No
TXN00170,CUST0643,1999,Card,Bank Timeout,18,5,3,Loyal,Recovered,Yes
TXN00171,CUST0256,2499,Wallet,Insufficient Balance,27,5,1,Loyal,Recovered,Yes
TXN00172,CUST0687,499,Wallet,Bank Timeout,6,4,0,Regular,Failed,No
TXN00173,CUST0643,2499,UPI,Insufficient Balance,29,1,1,Loyal,Failed,No
TXN00174,CUST0494,299,Wallet,Insufficient Balance,1,4,0,New,Recovered,Yes
TXN00175,CUST0899,199,NetBanking,Authentication Failed,5,0,2,Regular,Recovered,Yes
TXN00176,CUST0806,9999,UPI,Network Error,22,4,1,Loyal,Failed,No
TXN00177,CUST0983,2499,NetBanking,Authentication Failed,13,1,1,Regular,Recovered,Yes
TXN00178,CUST0159,299,NetBanking,Network Error,3,0,3,New,Recovered,Yes
TXN00179,CUST0800,199,Card,Card Declined,8,1,1,Regular,Recovered,Yes
TXN00180,CUST0275,799,UPI,Insufficient Balance,24,2,0,Loyal,Failed,No
TXN00181,CUST0272,4999,NetBanking,Authentication Failed,1,2,1,New,Failed,No
TXN00182,CUST0759,9999,NetBanking,Insufficient Balance,11,5,1,Regular,Failed,No
TXN00183,CUST0304,299,Wallet,Insufficient Balance,18,0,2,Loyal,Failed,No
TXN00184,CUST0445,1499,NetBanking,Card Declined,30,5,2,Loyal,Recovered,Yes
TXN00185,CUST0995,499,Card,Authentication Failed,1,3,2,New,Recovered,Yes
TXN00186,CUST0556,9999,Card,Bank Timeout,8,5,1,Regular,Recovered,Yes
TXN00187,CUST0533,999,UPI,Card Declined,18,0,3,Loyal,Recovered,Yes
TXN00188,CUST0091,199,NetBanking,Bank Timeout,10,0,2,Regular,Recovered,Yes
TXN00189,CUST0237,999,NetBanking,Network Error,9,0,2,Regular,Recovered,Yes
TXN00190,CUST0756,799,Wallet,Bank Timeout,24,1,3,Loyal,Recovered,Yes
TXN00191,CUST0639,2499,Card,Authentication Failed,8,5,2,Regular,Recovered,Yes
TXN00192,CUST0375,4999,Wallet,Bank Timeout,30,4,1,Loyal,Recovered,Yes
TXN00193,CUST0970,199,Wallet,Insufficient Balance,20,1,0,Loyal,Failed,No
TXN00194,CUST0095,799,NetBanking,Bank Timeout,30,4,2,Loyal,Recovered,Yes
TXN00195,CUST0133,499,Wallet,Authentication Failed,13,4,0,Regular,Recovered,Yes
TXN00196,CUST0258,9999,NetBanking,Bank Timeout,15,5,3,Loyal,Recovered,Yes
TXN00197,CUST0367,299,NetBanking,Card Declined,11,3,0,Regular,Recovered,Yes
TXN00198,CUST0782,1999,Wallet,Insufficient Balance,29,1,3,Loyal,Failed,No
TXN00199,CUST0801,499,Card,Network Error,27,0,0,Loyal,Recovered,Yes
TXN00200,CUST0699,1999,UPI,Insufficient Balance,6,0,3,Regular,Failed,No
TXN00201,CUST0429,499,Wallet,Insufficient Balance,18,4,2,Loyal,Failed,No
TXN00202,CUST0373,499,NetBanking,Insufficient Balance,6,3,2,Regular,Recovered,Yes
TXN00203,CUST0849,499,Wallet,Authentication Failed,1,0,0,New,Recovered,Yes
TXN00204,CUST0074,999,UPI,Network Error,26,1,2,Loyal,Recovered,Yes
TXN00205,CUST0231,499,UPI,Bank Timeout,3,0,0,New,Recovered,Yes
TXN00206,CUST0537,1999,NetBanking,Insufficient Balance,23,0,0,Loyal,Recovered,Yes
TXN00207,CUST0593,499,Card,Network Error,27,0,3,Loyal,Recovered,Yes
TXN00208,CUST0827,2499,UPI,Bank Timeout,7,2,3,Regular,Recovered,Yes
TXN00209,CUST0613,1999,UPI,Authentication Failed,19,5,1,Loyal,Failed,No
TXN00210,CUST0038,1999,NetBanking,Card Declined,7,0,3,Regular,Recovered,Yes
TXN00211,CUST0347,999,UPI,Card Declined,2,4,2,New,Recovered,Yes
TXN00212,CUST0857,2499,Wallet,Insufficient Balance,20,1,0,Loyal,Recovered,Yes
TXN00213,CUST0292,2499,Wallet,Network Error,16,3,0,Loyal,Recovered,Yes
TXN00214,CUST0455,299,NetBanking,Card Declined,9,2,2,Regular,Failed,No
TXN00215,CUST0153,4999,UPI,Authentication Failed,3,2,1,New,Recovered,Yes
TXN00216,CUST0811,9999,Card,Authentication Failed,27,3,0,Loyal,Recovered,Yes
TXN00217,CUST0421,199,Card,Bank Timeout,13,3,3,Regular,Recovered,Yes
TXN00218,CUST0629,2499,UPI,Card Declined,7,4,0,Regular,Failed,No
TXN00219,CUST0768,199,Wallet,Card Declined,14,2,0,Regular,Recovered,Yes
TXN00220,CUST0971,799,Wallet,Bank Timeout,12,1,2,Regular,Recovered,Yes
TXN00221,CUST0597,999,Card,Network Error,23,3,2,Loyal,Failed,No
TXN00222,CUST0352,999,Card,Network Error,5,3,3,Regular,Failed,No
TXN00223,CUST0662,499,Card,Insufficient Balance,22,0,1,Loyal,Recovered,Yes
TXN00224,CUST0253,1999,NetBanking,Bank Timeout,14,5,0,Regular,Recovered,Yes
TXN00225,CUST0475,499,Wallet,Authentication Failed,6,0,1,Regular,Recovered,Yes
TXN00226,CUST0676,799,Card,Network Error,20,5,3,Loyal,Failed,No
TXN00227,CUST0590,799,UPI,Card Declined,13,2,2,Regular,Failed,No
TXN00228,CUST0321,299,UPI,Card Declined,10,2,0,Regular,Failed,No
TXN00229,CUST0099,199,Wallet,Authentication Failed,0,2,0,New,Recovered,Yes
TXN00230,CUST0834,299,Card,Bank Timeout,21,1,2,Loyal,Failed,No
TXN00231,CUST0486,4999,Wallet,Network Error,24,0,1,Loyal,Recovered,Yes
TXN00232,CUST0245,9999,Card,Card Declined,15,5,2,Loyal,Failed,No
TXN00233,CUST0208,799,UPI,Insufficient Balance,1,2,1,New,Recovered,Yes
TXN00234,CUST0113,1999,UPI,Insufficient Balance,22,4,1,Loyal,Recovered,Yes
TXN00235,CUST0205,1499,NetBanking,Bank Timeout,20,0,0,Loyal,Recovered,Yes
TXN00236,CUST0982,299,UPI,Insufficient Balance,12,0,0,Regular,Failed,No
TXN00237,CUST0559,799,Card,Insufficient Balance,5,5,3,Regular,Failed,No
TXN00238,CUST0058,199,Wallet,Network Error,17,1,2,Loyal,Recovered,Yes
TXN00239,CUST0136,9999,Card,Insufficient Balance,12,3,1,Regular,Recovered,Yes
TXN00240,CUST0376,1999,Wallet,Insufficient Balance,4,4,2,New,Failed,No
TXN00241,CUST0423,999,Card,Bank Timeout,12,3,2,Regular,Recovered,Yes
TXN00242,CUST0391,299,Card,Bank Timeout,15,3,2,Loyal,Recovered,Yes
TXN00243,CUST0927,299,Wallet,Bank Timeout,10,1,0,Regular,Recovered,Yes
TXN00244,CUST0060,199,Wallet,Insufficient Balance,29,2,0,Loyal,Recovered,Yes
TXN00245,CUST0147,1499,Wallet,Network Error,20,3,1,Loyal,Recovered,Yes
TXN00246,CUST0316,1999,NetBanking,Bank Timeout,26,0,0,Loyal,Recovered,Yes
TXN00247,CUST0201,499,Wallet,Bank Timeout,7,2,0,Regular,Recovered,Yes
TXN00248,CUST0573,2499,Wallet,Insufficient Balance,7,1,2,Regular,Failed,No
TXN00249,CUST0535,199,NetBanking,Insufficient Balance,6,2,0,Regular,Failed,No
TXN00250,CUST0965,9999,Wallet,Insufficient Balance,11,3,1,Regular,Failed,No
TXN00251,CUST0244,4999,Wallet,Insufficient Balance,8,2,2,Regular,Failed,No
TXN00252,CUST0254,299,UPI,Insufficient Balance,25,0,1,Loyal,Failed,No
TXN00253,CUST0529,2499,UPI,Bank Timeout,29,0,2,Loyal,Recovered,Yes
TXN00254,CUST0154,1999,NetBanking,Authentication Failed,22,2,1,Loyal,Recovered,Yes
TXN00255,CUST0867,9999,NetBanking,Card Declined,9,0,3,Regular,Failed,No
TXN00256,CUST0994,199,Card,Insufficient Balance,1,1,1,New,Failed,No
TXN00257,CUST0904,2499,Wallet,Network Error,7,1,2,Regular,Recovered,Yes
TXN00258,CUST0979,4999,NetBanking,Network Error,6,2,1,Regular,Recovered,Yes
TXN00259,CUST0559,299,Wallet,Card Declined,24,4,2,Loyal,Recovered,Yes
TXN00260,CUST0820,1999,Wallet,Authentication Failed,4,4,2,New,Failed,No
TXN00261,CUST0533,299,Wallet,Authentication Failed,30,3,1,Loyal,Recovered,Yes
TXN00262,CUST0541,9999,Wallet,Bank Timeout,6,3,0,Regular,Recovered,Yes
TXN00263,CUST0634,199,Wallet,Bank Timeout,11,0,1,Regular,Recovered,Yes
TXN00264,CUST0621,4999,NetBanking,Network Error,4,3,2,New,Failed,No
TXN00265,CUST0117,299,UPI,Bank Timeout,13,4,3,Regular,Failed,No
TXN00266,CUST0459,499,Card,Bank Timeout,9,4,2,Regular,Failed,No
TXN00267,CUST0306,4999,NetBanking,Network Error,20,3,2,Loyal,Recovered,Yes
TXN00268,CUST0843,1499,NetBanking,Network Error,19,0,2,Loyal,Recovered,Yes
TXN00269,CUST0159,499,NetBanking,Network Error,9,0,1,Regular,Recovered,Yes
TXN00270,CUST0407,1999,Wallet,Insufficient Balance,24,0,0,Loyal,Failed,No
TXN00271,CUST0406,199,UPI,Insufficient Balance,15,2,2,Loyal,Recovered,Yes
TXN00272,CUST0665,1999,NetBanking,Authentication Failed,8,0,2,Regular,Recovered,Yes
TXN00273,CUST0802,9999,Wallet,Bank Timeout,6,3,1,Regular,Recovered,Yes
TXN00274,CUST0531,999,UPI,Network Error,19,5,1,Loyal,Failed,No
TXN00275,CUST0754,1499,Wallet,Authentication Failed,20,3,2,Loyal,Recovered,Yes
TXN00276,CUST0205,999,Wallet,Network Error,19,1,0,Loyal,Recovered,Yes
TXN00277,CUST0753,199,NetBanking,Network Error,13,1,2,Regular,Recovered,Yes
TXN00278,CUST0637,199,Card,Authentication Failed,10,1,3,Regular,Recovered,Yes
TXN00279,CUST0091,299,Wallet,Card Declined,10,5,3,Regular,Failed,No
TXN00280,CUST0464,1999,Wallet,Card Declined,3,2,3,New,Failed,No
TXN00281,CUST0324,2499,UPI,Network Error,8,4,1,Regular,Failed,No
TXN00282,CUST0223,499,NetBanking,Authentication Failed,29,1,2,Loyal,Recovered,Yes
TXN00283,CUST0936,499,NetBanking,Card Declined,5,2,0,Regular,Failed,No
TXN00284,CUST0203,199,UPI,Insufficient Balance,16,2,0,Loyal,Recovered,Yes
TXN00285,CUST0647,499,UPI,Card Declined,28,1,1,Loyal,Failed,No
TXN00286,CUST0987,799,Card,Insufficient Balance,21,3,3,Loyal,Failed,No
TXN00287,CUST0184,799,Card,Card Declined,23,2,2,Loyal,Failed,No
TXN00288,CUST0193,199,Card,Authentication Failed,8,2,3,Regular,Recovered,Yes
TXN00289,CUST0397,299,UPI,Network Error,20,3,1,Loyal,Failed,No
TXN00290,CUST0984,9999,Card,Insufficient Balance,6,2,2,Regular,Failed,No
TXN00291,CUST0918,499,UPI,Bank Timeout,15,5,2,Loyal,Recovered,Yes
TXN00292,CUST0085,799,NetBanking,Network Error,17,3,0,Loyal,Recovered,Yes
TXN00293,CUST0223,299,Card,Card Declined,13,5,1,Regular,Recovered,Yes
TXN00294,CUST0711,299,Card,Authentication Failed,15,2,3,Loyal,Failed,No
TXN00295,CUST0478,799,Wallet,Card Declined,9,2,3,Regular,Recovered,Yes
TXN00296,CUST0235,1499,NetBanking,Authentication Failed,20,4,3,Loyal,Recovered,Yes
TXN00297,CUST0980,999,UPI,Bank Timeout,6,5,3,Regular,Recovered,Yes
TXN00298,CUST0500,499,Wallet,Card Declined,12,0,1,Regular,Recovered,Yes
TXN00299,CUST0928,2499,UPI,Card Declined,30,4,1,Loyal,Failed,No
TXN00300,CUST0779,999,NetBanking,Authentication Failed,2,0,2,New,Recovered,Yes
TXN00301,CUST0022,299,UPI,Network Error,19,2,2,Loyal,Recovered,Yes
TXN00302,CUST0105,199,UPI,Insufficient Balance,20,3,1,Loyal,Recovered,Yes
TXN00303,CUST0748,1999,NetBanking,Card Declined,9,5,2,Regular,Recovered,Yes
TXN00304,CUST0718,199,Card,Bank Timeout,25,5,0,Loyal,Recovered,Yes
TXN00305,CUST0627,499,Card,Card Declined,3,5,2,New,Failed,No
TXN00306,CUST0437,799,UPI,Authentication Failed,3,0,2,New,Failed,No
TXN00307,CUST0639,2499,UPI,Network Error,8,4,3,Regular,Recovered,Yes
TXN00308,CUST0672,4999,UPI,Insufficient Balance,27,0,3,Loyal,Failed,No
TXN00309,CUST0579,499,Wallet,Bank Timeout,10,4,3,Regular,Recovered,Yes
TXN00310,CUST0127,299,Card,Network Error,0,5,1,New,Failed,No
TXN00311,CUST0772,499,UPI,Network Error,25,3,2,Loyal,Recovered,Yes
TXN00312,CUST0300,299,NetBanking,Card Declined,18,0,3,Loyal,Recovered,Yes
TXN00313,CUST0302,999,NetBanking,Network Error,7,4,1,Regular,Recovered,Yes
